,y,y_tnd,diff_y_tnd,y_gap,log(Y),shk_y_tnd,shk_y_gap,ant_shk_y_gap,Y,,,obs_y,obs_diff_y,log(obs_Y),obs_y_gap,obs_y_gap4,obs_Y,
2008Q3,14.749995833472,14.749995833472,1.5,0.0,0.147499958335,0.0,0.0,0.0,1.158933236542,,,,,,,,,
2008Q4,15.124995833472,15.124995833472,1.5,0.0,0.151249958335,0.0,0.0,0.0,1.163287395124,,,,,,,,,
2009Q1,15.499995833472,15.499995833472,1.5,0.0,0.154999958335,0.0,0.0,0.0,1.167657912454,,,,,,,,,
2009Q2,15.874995833472,15.874995833472,1.5,0.0,0.158749958335,0.0,0.0,0.0,1.172044849993,,,,,,,,,
2009Q3,16.249995833472,16.249995833472,1.5,0.0,0.162499958335,0.0,0.0,0.0,1.176448269432,,,,,,,,,
2009Q4,16.624995833472,16.624995833472,1.5,0.0,0.166249958335,0.0,0.0,0.0,1.180868232693,,,,,,,,,
2010Q1,16.999995833472,16.999995833472,1.5,0.0,0.169999958335,0.0,0.0,0.0,1.185304801934,,,,,,,,,
2010Q2,17.374995833472,17.374995833472,1.5,0.0,0.173749958335,0.0,0.0,0.0,1.189758039543,,,,,,,,,
2010Q3,17.749995833472,17.749995833472,1.5,0.0,0.177499958335,0.0,0.0,0.0,1.194228008145,,,,,,,,,
2010Q4,18.124995833472,18.124995833472,1.5,0.0,0.181249958335,0.0,0.0,0.0,1.198714770597,,,,,,,,,
2011Q1,18.499995833472,18.499995833472,1.5,0.0,0.184999958335,0.0,0.0,0.0,1.203218389995,,,,,,,,,
2011Q2,18.874995833472,18.874995833472,1.5,0.0,0.188749958335,0.0,0.0,0.0,1.207738929672,,,,,,,,,
2011Q3,19.249995833472,19.249995833472,1.5,0.0,0.192499958335,0.0,0.0,0.0,1.212276453198,,,,,,,,,
2011Q4,19.624995833472,19.624995833472,1.5,0.0,0.196249958335,0.0,0.0,0.0,1.216831024381,,,,,,,,,
2012Q1,19.999995833472,19.999995833472,1.5,0.0,0.199999958335,0.0,0.0,0.0,1.22140270727,,,,,,,,,
2012Q2,20.374995833472,20.374995833472,1.5,0.0,0.203749958335,0.0,0.0,0.0,1.225991566155,,,,,,,,,
2012Q3,20.749995833472,20.749995833472,1.5,0.0,0.207499958335,0.0,0.0,0.0,1.230597665567,,,,,,,,,
2012Q4,21.124995833472,21.124995833472,1.5,0.0,0.211249958335,0.0,0.0,0.0,1.235221070279,,,,,,,,,
2013Q1,21.499995833472,21.499995833472,1.5,0.0,0.214999958335,0.0,0.0,0.0,1.239861845307,,,,,,,,,
2013Q2,21.874995833472,21.874995833472,1.5,0.0,0.218749958335,0.0,0.0,0.0,1.244520055913,,,,,,,,,
2013Q3,22.249995833472,22.249995833472,1.5,0.0,0.222499958335,0.0,0.0,0.0,1.249195767603,,,,,,,,,
2013Q4,22.624995833472,22.624995833472,1.5,0.0,0.226249958335,0.0,0.0,0.0,1.253889046128,,,,,,,,,
2014Q1,22.999995833472,22.999995833472,1.5,0.0,0.229999958335,0.0,0.0,0.0,1.25859995749,,,,,,,,,
2014Q2,23.374995833472,23.374995833472,1.5,0.0,0.233749958335,0.0,0.0,0.0,1.263328567933,,,,,,,,,
2014Q3,23.749995833472,23.749995833472,1.5,0.0,0.237499958335,0.0,0.0,0.0,1.268074943956,,,,,,,,,
2014Q4,24.124995833472,24.124995833472,1.5,0.0,0.241249958335,0.0,0.0,0.0,1.272839152303,,,,,,,,,
2015Q1,24.499995833472,24.499995833472,1.5,0.0,0.244999958335,0.0,0.0,0.0,1.277621259972,,,,,,,,,
2015Q2,24.874995833472,24.874995833472,1.5,0.0,0.248749958335,0.0,0.0,0.0,1.282421334211,,,,,,,,,
2015Q3,25.249995833472,25.249995833472,1.5,0.0,0.252499958335,0.0,0.0,0.0,1.287239442522,,,,,,,,,
2015Q4,25.624995833472,25.624995833472,1.5,0.0,0.256249958335,0.0,0.0,0.0,1.292075652658,,,,,,,,,
2016Q1,25.999995833472,25.999995833472,1.5,0.0,0.259999958335,0.0,0.0,0.0,1.296930032629,,,,,,,,,
2016Q2,26.374995833472,26.374995833472,1.5,0.0,0.263749958335,0.0,0.0,0.0,1.3018026507,,,,,,,,,
2016Q3,26.749995833472,26.749995833472,1.5,0.0,0.267499958335,0.0,0.0,0.0,1.306693575392,,,,,,,,,
2016Q4,27.124995833472,27.124995833472,1.5,0.0,0.271249958335,0.0,0.0,0.0,1.311602875485,,,,,,,,,
2017Q1,27.499995833472,27.499995833472,1.5,0.0,0.274999958335,0.0,0.0,0.0,1.316530620014,,,,,,,,,
2017Q2,27.874995833472,27.874995833472,1.5,0.0,0.278749958335,0.0,0.0,0.0,1.321476878277,,,,,,,,,
2017Q3,28.249995833472,28.249995833472,1.5,0.0,0.282499958335,0.0,0.0,0.0,1.32644171983,,,,,,,,,
2017Q4,28.624995833472,28.624995833472,1.5,0.0,0.286249958335,0.0,0.0,0.0,1.331425214492,,,,,,,,,
2018Q1,28.999995833472,28.999995833472,1.5,0.0,0.289999958335,0.0,0.0,0.0,1.336427432343,,,,,,,,,
2018Q2,29.374995833472,29.374995833472,1.5,0.0,0.293749958335,0.0,0.0,0.0,1.341448443726,,,,,,,,,
2018Q3,29.749995833472,29.749995833472,1.5,0.0,0.297499958335,0.0,0.0,0.0,1.346488319251,,,,,,,,,
2018Q4,30.124995833473,30.124995833472,1.5,0.0,0.301249958335,0.0,0.0,0.0,1.35154712979,,,,,,,,,
2019Q1,30.499995833473,30.499995833472,1.5,0.0,0.304999958335,0.0,0.0,0.0,1.356624946482,,,,,,,,,
2019Q2,30.874995833473,30.874995833472,1.5,0.0,0.308749958335,0.0,0.0,0.0,1.361721840735,,,,,,,,,
2019Q3,31.249995833473,31.249995833472,1.5,0.0,0.312499958335,0.0,0.0,0.0,1.366837884224,,,,,,,,,
2019Q4,31.624995833473,31.624995833472,1.5,0.0,0.316249958335,0.0,0.0,0.0,1.371973148893,,,,,,,,,
2020Q1,31.999995833473,31.999995833472,1.5,0.0,0.319999958335,0.0,0.0,0.0,1.377127706958,,,,,,,,,
2020Q2,32.374995833473,32.374995833472,1.5,0.0,0.323749958335,0.0,0.0,0.0,1.382301630903,,,,,,,,,
2020Q3,32.749995833473,32.749995833472,1.5,0.0,0.327499958335,0.0,0.0,0.0,1.387494993488,,,,,,,,,
2020Q4,33.124995833473,33.124995833473,1.5,0.0,0.331249958335,0.0,0.0,0.0,1.392707867744,,,,,,,,,
2021Q1,33.499995833473,33.499995833473,1.5,0.0,0.334999958335,0.0,0.0,0.0,1.397940326977,,,,,,,,,
2021Q2,33.874995833473,33.874995833473,1.5,0.0,0.338749958335,0.0,0.0,0.0,1.403192444769,,,,,,,,,
2021Q3,34.249995833473,34.249995833473,1.5,0.0,0.342499958335,0.0,0.0,0.0,1.408464294978,,,,,,,,,
2021Q4,34.624995833473,34.624995833473,1.5,0.0,0.346249958335,0.0,0.0,0.0,1.41375595174,,,,,,,,,
2022Q1,34.999995833473,34.999995833473,1.5,0.0,0.349999958335,0.0,0.0,0.0,1.419067489467,,,,,,,,,
2022Q2,35.374995833473,35.374995833473,1.5,0.0,0.353749958335,0.0,0.0,0.0,1.424398982855,,,,,,,,,
2022Q3,35.749995833473,35.749995833473,1.5,0.0,0.357499958335,0.0,0.0,0.0,1.429750506877,,,,,,,,,
2022Q4,36.124995833473,36.124995833473,1.5,0.0,0.361249958335,0.0,0.0,0.0,1.435122136789,,,,,,,,,
